UID,Status,Group,Title,Price,Qty,Title_Issue
433254,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP GNRC PNL15.6HD BV WLED SVA220 eDP slim TR 847654-008 Replacement Screen Display",499,,"HP GNRC PNL15.6HD BV WLED SVA220 eDPSlim TR 847654-008 Replacement Screen Display"
,"Dup title",,"HP GNRC PNL15.6HD BV WLED SVA220 eDPSlim TR 847654-008 Replacement Screen Display",499,,"Line 118"
433255,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP GNRC Panel 15.6"" HD BV WLED SVA eDP Slim TOP TN 809612-015 Replacement Screen Display",499,,"HP GNRC PNL15.6 HD BV WLED SVAeDPSlimTOP TN 809612-015 Replacement Screen Display"
433256,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP GNRC Panel 15.6"" HD BV WLED SVA eDP Slim TOP CB 809612-016 Replacement Screen Display",499,,"HP GNRC PNL15.6 HD BV WLED SVAeDPSlimTOP CB 809612-016 Replacement Screen Display"
433257,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP GNRC PNL15.6HD BV WLED SVA220 eDP slim CB 847654-010 Replacement Screen Display",499,,"HP GNRC PNL15.6HD BV WLED SVA220 eDPSlim CB 847654-010 Replacement Screen Display"
433258,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP LCD Display Panel 15.6"" FHD BV LED UWVA L01674-001 Replacement Screen",353.23,,"HP LCD Display Panel 15.6"" FHD BV LED UWVA L01674-001 Replacement Screen Display"
433259,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP SPS LCD CABLE HD WEBCAM L01858-001 Replacement Screen Display",499,,"HP SPS-LCD CABLE HD WEBCAM L01858-001 Replacement Screen Display"
433260,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP LCD Display Panel 15.6"" FHD BV LED UWVA Touch Screen L25333-001 Replacement Screen",498.86,,"HP LCD Display Panel 15.6"" FHD BV LED UWVA Touch Screen L25333-001 Replacement Screen Display"
433261,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP LCD Display Panel 15.6"" HD BV SVA L25336-001 Replacement Screen",316.97,,"HP LCD Display Panel 15.6"" HD BV SVA L25336-001 Replacement Screen Display"
433262,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP LCD Display Panel 15.6"" FHD AG SVA L25331-001 Replacement Screen",353.23,,"HP LCD Display Panel 15.6"" FHD AG SVA L25331-001 Replacement Screen Display"
,"Dup title",,"HP LCD Display Panel 15.6"" FHD BV LED UWVA Touch Screen L25333-001 Replacement Screen Display",498.86,,"Line 125"
,"Dup title",,"HP LCD Display Panel 15.6"" FHD AG SVA L25331-001 Replacement Screen Display",353.23,,"Line 127"
,"Dup title",,"HP LCD Display Panel 15.6"" FHD BV LED UWVA Touch Screen L25333-001 Replacement Screen Display",498.86,,"Line 125"
